SongName,ArtistName,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,URL,cluster
Falling,Harry Styles,77,0.63,0.694,11,-6.257,0,0.0253,0.00281,0.0,0.0719,0.216,97.005,195519,https://i.scdn.co/image/ab67616d0000b273f3508855e1fd44d447a3413b,2
Space Melody (Edward Artemyev) (feat. Leony),VIZE,81,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,222091,https://i.scdn.co/image/ab67616d0000b273a406e667a19401dc05bcf304,2
Another Life (feat. Alida),Lucas & Steve,78,0.782,0.685,4,-6.237,1,0.0309,0.166,1.18e-05,0.16,0.603,118.016,180566,https://i.scdn.co/image/ab67616d0000b2735b6ad55d3ebb8358fff7b3e0,2
Way Back Home (feat. Conor Maynard) - Sam Feldt Edit,SHAUN,76,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739,https://i.scdn.co/image/ab67616d0000b27391994452af66b672954b6eb4,2
Faded - Luke Christopher Remix,Alan Walker,47,0.581,0.954,9,-3.336,1,0.081,0.0244,0.00413,0.223,0.616,127.959,191250,https://i.scdn.co/image/ab67616d0000b2730aacfea72fdb370310613aec,2
Without You,Mike Williams,68,0.667,0.827,11,-5.631,1,0.0368,0.0863,0.0,0.0565,0.573,107.95,161944,https://i.scdn.co/image/ab67616d0000b2734687bc7a0bda65c282c13afa,2
Be Kind (with Halsey),Marshmello,73,0.407,0.725,5,-5.346,0,0.188,0.0141,2.46e-06,0.306,0.247,196.093,247267,https://i.scdn.co/image/ab67616d0000b273fdf2e993e10e67396b3bf759,1
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,86,0.532,0.783,2,-5.697,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427,https://i.scdn.co/image/ab67616d0000b27385ca00029c70d6b5b8372e96,2
Daylight,Klaas,80,0.766,0.817,7,-4.253,1,0.035,0.0239,2.49e-06,0.159,0.43,125.033,138819,https://i.scdn.co/image/ab67616d0000b273e40c514edddb844439af6201,2
All We Need (feat. Shy Girls) - Dzeko & Torres Remix Radio Edit,ODESZA,61,0.768,0.649,0,-8.508,0,0.0304,0.107,0.0202,0.133,0.36,122.009,149487,https://i.scdn.co/image/ab67616d0000b2731cb7abd73512578381b6a7f7,2
SOS (feat. Aloe Blacc),Avicii,72,0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833,https://i.scdn.co/image/ab67616d0000b273660ee24281a547103f466ff5,2
Hearts on Fire - CORSAK & Willim Remix,ILLENIUM,76,0.713,0.802,4,-7.055,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739,https://i.scdn.co/image/ab67616d0000b2735235356530037f36494840a1,2
You Know You Like It,DJ Snake,80,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,135747,https://i.scdn.co/image/ab67616d0000b273567a71695181017949f14f99,1
Fast Car,Jonas Blue,78,0.883,0.674,11,-8.043,0,0.357,0.21,0.0,0.0678,0.73,141.02,278085,https://i.scdn.co/image/ab67616d0000b273ca650d3a95022e0490434ba1,1
